entity_id,fecha,LF,PAR,f1,f2_CV,f3,f4,HU_horas,CO2_tCO2e,desbalance_pct,fp_promedio,thd_v_pct
SmartMeter_SM_B10_ARQ,2026-02-10,0.6161938064680055,1.6228660358207005,0.7803868940192685,0.21326694868920462,0.5617673675961189,0.555894358160868,0.014498862305622124,0.02960200021552006,0.5900179384633555,0.9483333333333333,2.4873685416666667
SmartMeter_SM_B10_ARQ,2026-02-11,0.49622054021497514,2.0152329840412793,0.6334126836582935,0.39059038874442775,0.5048648683122238,0.5392097789695042,0.011528433150831277,0.044054214145412725,0.6733162906341628,0.9254747329059829,2.3516244925213674
SmartMeter_SM_B10_ARQ,2026-02-12,0.658579893388008,1.5184186611826023,0.6385104703212091,0.22608079092059882,0.5839323839451072,1.0507896441729936,0.015285983082448695,0.043068609253593244,0.5891770578240783,0.9329819444444444,2.4354717361111113
SmartMeter_SM_B10_ARQ,2026-02-13,0.37520795833334375,2.6651886714822184,0.4777069825091951,0.3886484787310782,0.4363783740235889,0.5447012698808984,0.008812458433371579,0.028455363877119985,0.5042261904241331,0.9369881944444445,2.2994174305555557
SmartMeter_SM_B10_ARQ,2026-02-14,0.6271687033867497,1.594467317326165,0.6908341597509909,0.29801437811090736,0.5631261109478027,0.8308125176409373,0.014602933055502232,0.014544369711126671,0.3951512670149406,0.9221604166666667,1.7489172222222222
SmartMeter_SM_B10_ARQ,2026-02-15,0.8186406817820124,1.2215371435282274,0.7687948561627099,0.19063952922470995,0.7303352877898441,1.1014808790730148,0.018555883937218347,0.008268149997300923,0.3462780709597542,0.8879418478260869,1.301096560990338
SmartMeter_SM_B10_ARQ,2026-02-16,0.5974050311232658,1.673906224257533,0.7925137759484528,0.22572382771895472,0.43451612749457985,0.455677096050075,0.014108232570595089,0.02907005052152006,0.5381577505889946,0.9525513888888889,2.3766275
SmartMeter_SM_B10_ARQ,2026-02-17,0.6362348662135183,1.5717466192184495,0.8067516090759411,0.2041314859891466,0.5681368376961602,0.5533181431430751,0.014988669092880888,0.027890121486239972,0.55987263106872,0.9410180555555555,2.4079190277777776
SmartMeter_SM_B10_ARQ,2026-02-18,0.6002278572538201,1.6660339701246605,0.7605241392649953,0.24445421862008648,0.5402232540945385,0.554901581474499,0.014134203785881492,0.02922428993476765,0.599789437992314,0.948770350241546,2.485435727657005
SmartMeter_SM_B10_ARQ,2026-02-19,0.4155692666934947,2.406337715867606,0.5610780260496884,0.38212544907895574,0.35542548737687324,0.4164279739534798,0.00977353120445104,0.03693446542672028,0.5630308143636719,0.9456590277777778,2.4741881944444444
