entity_id,time_index_colombia,activepower,totalpowerfactor,relativethdvoltage,v1,v2,v3,activeenergyimport
SmartMeter_SM_B10_ARQ,2026-02-11 12:00:00,16701.64,0.9703999999999999,3.16704,122.682,124.24799999999999,124.5732,26986735.84
SmartMeter_SM_B10_ARQ,2026-02-11 13:00:00,19050.38,0.9703999999999999,3.1607600000000002,122.6984,123.84280000000001,124.4192,27003216.72
SmartMeter_SM_B10_ARQ,2026-02-11 14:00:00,39388.084,0.9444,3.4491199999999997,120.3036,121.1344,121.9348,27033807.6
SmartMeter_SM_B10_ARQ,2026-02-11 15:00:00,38167.244,0.9384,3.3388799999999996,120.8056,121.70479999999999,122.4268,27072687.2
SmartMeter_SM_B10_ARQ,2026-02-11 16:00:00,36065.575000000004,0.9333333333333332,3.1456250000000003,121.27416666666666,121.75958333333334,122.75625000000001,27109242.0
SmartMeter_SM_B10_ARQ,2026-02-11 17:00:00,35873.056000000004,0.9279999999999999,2.9432799999999997,122.01360000000001,122.4376,123.6968,27144551.84
SmartMeter_SM_B10_ARQ,2026-02-11 18:00:00,31610.107999999997,0.912,2.64844,121.61200000000001,122.4464,123.0456,27178544.4
SmartMeter_SM_B10_ARQ,2026-02-11 19:00:00,29790.952,0.9056000000000001,2.35464,122.4656,122.9308,123.5232,27209363.92
SmartMeter_SM_B10_ARQ,2026-02-11 20:00:00,27393.412,0.892,2.11452,122.6732,123.9532,124.0308,27238494.64
SmartMeter_SM_B10_ARQ,2026-02-11 21:00:00,26243.112,0.8740000000000001,1.8247200000000001,122.6784,123.5708,124.29879999999999,27265527.76
SmartMeter_SM_B10_ARQ,2026-02-11 22:00:00,24299.624,0.8708,1.76268,122.5632,123.3048,124.23,27290725.76
SmartMeter_SM_B10_ARQ,2026-02-11 23:00:00,23391.75833333333,0.8725,1.7377916666666666,122.46916666666668,123.37,123.88541666666667,27314282.333333332
SmartMeter_SM_B10_ARQ,2026-02-12 00:00:00,22607.595833333336,0.8658333333333333,1.5410833333333336,122.58749999999999,123.70666666666666,124.03666666666668,27337398.416666668
