kpi,descripcion,bloque,mes,valor,unidad,estado,umbral_objetivo,umbral_alerta,n_base,fecha_pico,hora_pico,dias_evaluados
KPI-01,Consumo/m2 (mensual),15,2026-04,2.368326384192714,kWh/m2,SIN_BASE,,,2.0,,,
KPI-01,Consumo/m2 (mensual),15,2026-05,3.1090866627978144,kWh/m2,SIN_BASE,,,3.0,,,
KPI-01,Consumo/m2 (mensual),15,2026-06,0.5713957022618613,kWh/m2,OK,1.8152501876055902,3.3016290379587794,4.0,,,
KPI-01,Consumo/m2 (mensual),17,2026-01,0.038438874464986506,kWh/m2,SIN_BASE,,,0.0,,,
KPI-01,Consumo/m2 (mensual),17,2026-02,0.6124274280044636,kWh/m2,SIN_BASE,,,1.0,,,
KPI-01,Consumo/m2 (mensual),17,2026-03,0.5917458030705952,kWh/m2,SIN_BASE,,,2.0,,,
KPI-01,Consumo/m2 (mensual),17,2026-04,0.5080259394442145,kWh/m2,SIN_BASE,,,3.0,,,
KPI-01,Consumo/m2 (mensual),17,2026-05,0.7049350661309989,kWh/m2,AVISO,0.4070233454588404,0.7076070129975227,4.0,,,
KPI-01,Consumo/m2 (mensual),17,2026-06,0.10663981405637304,kWh/m2,OK,0.45673659866743804,0.7536807752668129,5.0,,,
KPI-01,Consumo/m2 (mensual),18,2026-01,0.020203358445501425,kWh/m2,SIN_BASE,,,0.0,,,
KPI-01,Consumo/m2 (mensual),18,2026-02,0.5926107761512598,kWh/m2,SIN_BASE,,,1.0,,,
KPI-01,Consumo/m2 (mensual),18,2026-03,0.6161157398709545,kWh/m2,SIN_BASE,,,2.0,,,
KPI-01,Consumo/m2 (mensual),18,2026-04,0.5808982520981386,kWh/m2,SIN_BASE,,,3.0,,,
KPI-01,Consumo/m2 (mensual),18,2026-05,0.6888845528545028,kWh/m2,AVISO,0.4207850394265611,0.7409979761555623,4.0,,,
KPI-01,Consumo/m2 (mensual),18,2026-06,0.12322677382687289,kWh/m2,OK,0.4647605583721864,0.7710753611249637,5.0,,,
KPI-01,Consumo/m2 (mensual),9.1,2026-01,0.23581512040744215,kWh/m2,SIN_BASE,,,0.0,,,
KPI-01,Consumo/m2 (mensual),9.1,2026-02,7.776727091936582,kWh/m2,SIN_BASE,,,1.0,,,
KPI-01,Consumo/m2 (mensual),9.1,2026-03,7.225907644199551,kWh/m2,SIN_BASE,,,2.0,,,
KPI-01,Consumo/m2 (mensual),9.1,2026-04,6.249257381854699,kWh/m2,SIN_BASE,,,3.0,,,
KPI-01,Consumo/m2 (mensual),9.1,2026-05,6.459076198312921,kWh/m2,AVISO,4.995891932927598,8.853768350597747,4.0,,,
KPI-01,Consumo/m2 (mensual),9.1,2026-06,1.0080880579730438,kWh/m2,OK,5.198101719228282,8.643664161409216,5.0,,,
KPI-01,Consumo/m2 (mensual),9.2,2026-01,0.16157129134761283,kWh/m2,SIN_BASE,,,0.0,,,
KPI-01,Consumo/m2 (mensual),9.2,2026-02,4.545228060953889,kWh/m2,SIN_BASE,,,1.0,,,
KPI-01,Consumo/m2 (mensual),9.2,2026-03,4.973981669268714,kWh/m2,SIN_BASE,,,2.0,,,
KPI-01,Consumo/m2 (mensual),9.2,2026-04,4.302305159380646,kWh/m2,SIN_BASE,,,3.0,,,
KPI-01,Consumo/m2 (mensual),9.2,2026-05,6.279718501940349,kWh/m2,ALERTA,3.2510675370710755,5.73584981417909,4.0,,,
KPI-01,Consumo/m2 (mensual),9.2,2026-06,0.9853800996361854,kWh/m2,OK,3.768881671017765,6.357671588973114,5.0,,,
KPI-02,Intensidad/usuario DEMO,CAMPUS_TOTAL,2026-01,1.578264156808239,kWh/usuario,DEMO — N_usuarios sin confirmar,,,0.0,,,
KPI-02,Intensidad/usuario DEMO,CAMPUS_TOTAL,2026-02,49.38231401095033,kWh/usuario,DEMO — N_usuarios sin confirmar,,,1.0,,,
KPI-02,Intensidad/usuario DEMO,CAMPUS_TOTAL,2026-03,53.58063535381444,kWh/usuario,DEMO — N_usuarios sin confirmar,,,2.0,,,
KPI-02,Intensidad/usuario DEMO,CAMPUS_TOTAL,2026-04,48.77880602640805,kWh/usuario,DEMO — N_usuarios sin confirmar,,,3.0,,,
KPI-02,Intensidad/usuario DEMO,CAMPUS_TOTAL,2026-05,61.30114695558187,kWh/usuario,DEMO — N_usuarios sin confirmar,35.646904544905595,62.92406350933206,4.0,,,
KPI-02,Intensidad/usuario DEMO,CAMPUS_TOTAL,2026-06,10.789489835289068,kWh/usuario,DEMO — N_usuarios sin confirmar,39.9195369696627,66.57133593985724,5.0,,,
KPI-03,Pico demanda (mensual),3,2026-01,4.446284,kW,SIN_BASE,,,0.0,2026-01-31,11.0,
KPI-03,Pico demanda (mensual),3,2026-02,11.788720833333333,kW,SIN_BASE,,,1.0,2026-02-26,14.0,
KPI-03,Pico demanda (mensual),3,2026-03,15.117064705882353,kW,SIN_BASE,,,2.0,2026-03-13,14.0,
KPI-03,Pico demanda (mensual),3,2026-04,13.48600341880342,kW,SIN_BASE,,,3.0,2026-04-13,14.0,
KPI-03,Pico demanda (mensual),3,2026-05,16.239410084033615,kW,ALERTA,10.42485196273944,15.918662435696326,4.0,2026-05-27,14.0,
KPI-03,Pico demanda (mensual),3,2026-06,13.973093162393159,kW,AVISO,11.360411845821805,16.87296283898323,5.0,2026-06-04,14.0,
KPI-03,Pico demanda (mensual),4,2026-01,19.21475384615385,kW,SIN_BASE,,,0.0,2026-01-31,13.0,
KPI-03,Pico demanda (mensual),4,2026-02,59.2032375,kW,SIN_BASE,,,1.0,2026-02-10,10.0,
KPI-03,Pico demanda (mensual),4,2026-03,61.013884000000004,kW,SIN_BASE,,,2.0,2026-03-02,11.0,
KPI-03,Pico demanda (mensual),4,2026-04,54.25255882352941,kW,SIN_BASE,,,3.0,2026-04-07,11.0,
KPI-03,Pico demanda (mensual),4,2026-05,63.45690254237288,kW,AVISO,45.03163094445136,68.10061789951669,4.0,2026-05-28,12.0,
KPI-03,Pico demanda (mensual),4,2026-06,53.5271512605042,kW,AVISO,47.828288628442444,69.74976664360973,5.0,2026-06-03,12.0,
KPI-03,Pico demanda (mensual),5,2026-01,21.148776923076923,kW,SIN_BASE,,,0.0,2026-01-30,19.0,
KPI-03,Pico demanda (mensual),5,2026-02,71.91795599999999,kW,SIN_BASE,,,1.0,2026-02-23,10.0,
KPI-03,Pico demanda (mensual),5,2026-03,72.22458305084746,kW,SIN_BASE,,,2.0,2026-03-18,10.0,
KPI-03,Pico demanda (mensual),5,2026-04,80.01965508474576,kW,SIN_BASE,,,3.0,2026-04-15,10.0,
KPI-03,Pico demanda (mensual),5,2026-05,85.8298564102564,kW,AVISO,57.0348007711408,88.37480438494663,4.0,2026-05-11,12.0,
KPI-03,Pico demanda (mensual),5,2026-06,79.24861440677965,kW,AVISO,61.592193909220335,92.08794838805284,5.0,2026-06-02,11.0,
KPI-03,Pico demanda (mensual),7,2026-01,50.679884,kW,SIN_BASE,,,0.0,2026-01-31,12.0,
KPI-03,Pico demanda (mensual),7,2026-02,82.922076,kW,SIN_BASE,,,1.0,2026-02-27,13.0,
KPI-03,Pico demanda (mensual),7,2026-03,77.861324,kW,SIN_BASE,,,2.0,2026-03-02,13.0,
KPI-03,Pico demanda (mensual),7,2026-04,81.13974369747899,kW,SIN_BASE,,,3.0,2026-04-07,14.0,
KPI-03,Pico demanda (mensual),7,2026-05,92.22329152542373,kW,ALERTA,68.03020393966386,88.27724757593722,4.0,2026-05-20,13.0,
KPI-03,Pico demanda (mensual),7,2026-06,81.6005932773109,kW,AVISO,71.57769537545991,92.59729361667506,5.0,2026-06-03,9.0,
KPI-03,Pico demanda (mensual),8,2026-01,23.414191999999996,kW,SIN_BASE,,,0.0,2026-01-31,12.0,
KPI-03,Pico demanda (mensual),8,2026-02,54.01090400000001,kW,SIN_BASE,,,1.0,2026-02-12,11.0,
KPI-03,Pico demanda (mensual),8,2026-03,57.65847899159664,kW,SIN_BASE,,,2.0,2026-03-25,15.0,
KPI-03,Pico demanda (mensual),8,2026-04,63.49910672268907,kW,SIN_BASE,,,3.0,2026-04-14,9.0,
KPI-03,Pico demanda (mensual),8,2026-05,63.83944033613446,kW,AVISO,46.170473498571425,67.56464103613891,4.0,2026-05-07,15.0,
KPI-03,Pico demanda (mensual),8,2026-06,60.06831610169492,kW,AVISO,48.810514701378146,69.25075231943612,5.0,2026-06-03,11.0,
KPI-03,Pico demanda (mensual),10,2026-01,20.96334230769231,kW,SIN_BASE,,,0.0,2026-01-31,13.0,
KPI-03,Pico demanda (mensual),10,2026-02,39.388084,kW,SIN_BASE,,,1.0,2026-02-11,14.0,
KPI-03,Pico demanda (mensual),10,2026-03,39.13730084033613,kW,SIN_BASE,,,2.0,2026-03-11,16.0,
KPI-03,Pico demanda (mensual),10,2026-04,42.19436440677966,kW,SIN_BASE,,,3.0,2026-04-09,15.0,
KPI-03,Pico demanda (mensual),10,2026-05,38.288454621848736,kW,AVISO,32.94131878649288,45.15817463878564,4.0,2026-05-27,16.0,
KPI-03,Pico demanda (mensual),10,2026-06,30.812787179487177,kW,OK,33.474707588858166,44.524107845874475,5.0,2026-06-05,15.0,
KPI-03,Pico demanda (mensual),12,2026-01,11.683938461538462,kW,SIN_BASE,,,0.0,2026-01-30,19.0,
KPI-03,Pico demanda (mensual),12,2026-02,20.946212,kW,SIN_BASE,,,1.0,2026-02-20,16.0,
KPI-03,Pico demanda (mensual),12,2026-03,19.47122307692308,kW,SIN_BASE,,,2.0,2026-03-24,14.0,
KPI-03,Pico demanda (mensual),12,2026-04,19.73810084033613,kW,SIN_BASE,,,3.0,2026-04-25,9.0,
KPI-03,Pico demanda (mensual),12,2026-05,22.064344915254242,kW,AVISO,16.702677793070457,22.192749735682067,4.0,2026-05-22,17.0,
KPI-03,Pico demanda (mensual),12,2026-06,13.556447899159664,kW,OK,17.466110388693654,22.880435460105293,5.0,2026-06-05,18.0,
KPI-03,Pico demanda (mensual),15,2026-01,52.953199999999995,kW,SIN_BASE,,,0.0,2026-01-30,19.0,
KPI-03,Pico demanda (mensual),15,2026-03,64.89446470588236,kW,SIN_BASE,,,1.0,2026-03-17,14.0,
KPI-03,Pico demanda (mensual),15,2026-04,71.5540372881356,kW,SIN_BASE,,,2.0,2026-04-28,14.0,
KPI-03,Pico demanda (mensual),15,2026-05,69.39678403361344,kW,SIN_BASE,,,3.0,2026-05-21,14.0,
KPI-03,Pico demanda (mensual),15,2026-06,65.14562372881355,kW,AVISO,60.17064800142429,73.00750398068669,4.0,2026-06-03,9.0,
KPI-03,Pico demanda (mensual),17,2026-01,15.962842307692307,kW,SIN_BASE,,,0.0,2026-01-30,19.0,
KPI-03,Pico demanda (mensual),17,2026-02,16.717584,kW,SIN_BASE,,,1.0,2026-02-13,17.0,
KPI-03,Pico demanda (mensual),17,2026-03,15.787555462184876,kW,SIN_BASE,,,2.0,2026-03-16,18.0,
KPI-03,Pico demanda (mensual),17,2026-04,16.746557983193277,kW,SIN_BASE,,,3.0,2026-04-23,18.0,
KPI-03,Pico demanda (mensual),17,2026-05,16.414963025210085,kW,AVISO,15.162380492588879,16.803639035625363,4.0,2026-05-18,19.0,
KPI-03,Pico demanda (mensual),17,2026-06,12.69282033898305,kW,OK,15.18308751676018,16.761769643364055,5.0,2026-06-05,17.0,
KPI-03,Pico demanda (mensual),18,2026-01,61.497600000000006,kW,SIN_BASE,,,0.0,2026-01-30,19.0,
KPI-03,Pico demanda (mensual),18,2026-02,71.5055,kW,SIN_BASE,,,1.0,2026-02-13,19.0,
KPI-03,Pico demanda (mensual),18,2026-03,72.32001764705882,kW,SIN_BASE,,,2.0,2026-03-16,18.0,
KPI-03,Pico demanda (mensual),18,2026-04,76.77654705882354,kW,SIN_BASE,,,3.0,2026-04-16,19.0,
KPI-03,Pico demanda (mensual),18,2026-05,71.72814406779662,kW,AVISO,65.58817204411764,76.9736695434357,4.0,2026-05-06,18.0,
KPI-03,Pico demanda (mensual),18,2026-06,62.56006806722689,kW,OK,65.81197243190428,76.37620935217505,5.0,2026-06-05,20.0,
KPI-03,Pico demanda (mensual),9.1,2026-01,46.88358,kW,SIN_BASE,,,0.0,2026-01-31,10.0,
KPI-03,Pico demanda (mensual),9.1,2026-02,83.828848,kW,SIN_BASE,,,1.0,2026-02-12,16.0,
KPI-03,Pico demanda (mensual),9.1,2026-03,82.00038813559323,kW,SIN_BASE,,,2.0,2026-03-12,16.0,
KPI-03,Pico demanda (mensual),9.1,2026-04,83.05976386554622,kW,SIN_BASE,,,3.0,2026-04-15,10.0,
KPI-03,Pico demanda (mensual),9.1,2026-05,74.54567542372881,kW,AVISO,68.7671248502649,91.99842205233745,4.0,2026-05-07,16.0,
KPI-03,Pico demanda (mensual),9.1,2026-06,42.295268644067804,kW,OK,68.8791955090255,89.70230130332747,5.0,2026-06-02,8.0,
KPI-03,Pico demanda (mensual),9.2,2026-01,37.324124000000005,kW,SIN_BASE,,,0.0,2026-01-31,12.0,
KPI-03,Pico demanda (mensual),9.2,2026-02,82.95682000000001,kW,SIN_BASE,,,1.0,2026-02-12,16.0,
KPI-03,Pico demanda (mensual),9.2,2026-03,80.84241512605043,kW,SIN_BASE,,,2.0,2026-03-16,16.0,
KPI-03,Pico demanda (mensual),9.2,2026-04,98.61376806722687,kW,SIN_BASE,,,3.0,2026-04-27,14.0,
KPI-03,Pico demanda (mensual),9.2,2026-05,131.58021428571428,kW,ALERTA,69.68888207243697,101.2307276810461,4.0,2026-05-20,14.0,
KPI-03,Pico demanda (mensual),9.2,2026-06,56.740968067226895,kW,OK,80.22502551509243,120.3278137763838,5.0,2026-06-02,14.0,
KPI-03,Pico demanda (mensual),Ecovilla,2026-01,0.5242230769230769,kW,SIN_BASE,,,0.0,2026-01-30,19.0,
KPI-03,Pico demanda (mensual),Ecovilla,2026-02,4.551832,kW,SIN_BASE,,,1.0,2026-02-27,8.0,
KPI-03,Pico demanda (mensual),Ecovilla,2026-03,5.271500847457627,kW,SIN_BASE,,,2.0,2026-03-16,15.0,
KPI-03,Pico demanda (mensual),Ecovilla,2026-04,5.231152941176471,kW,SIN_BASE,,,3.0,2026-04-07,14.0,
KPI-03,Pico demanda (mensual),Ecovilla,2026-05,5.89877372881356,kW,AVISO,3.622049811242043,6.165772707547763,4.0,2026-05-22,14.0,
KPI-03,Pico demanda (mensual),Ecovilla,2026-06,1.6790245762711864,kW,OK,3.9948117625529567,6.456904998012801,5.0,2026-06-05,15.0,
KPI-04,Ahorro energetico DEMO,3,2026-01,2.912621359223311,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,3,2026-02,2.912621359223311,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,3,2026-03,2.912621359223311,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,3,2026-04,2.912621359223311,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,3,2026-05,2.912621359223311,%,DEMO,3.1165048543689426,2.912621359223311,4.0,,,
KPI-04,Ahorro energetico DEMO,3,2026-06,2.9126213592232997,%,DEMO,3.1165048543689426,2.912621359223311,5.0,,,
KPI-04,Ahorro energetico DEMO,4,2026-01,2.912621359223311,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,4,2026-02,2.912621359223311,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,4,2026-03,2.9126213592232997,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,4,2026-04,2.912621359223311,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,4,2026-05,2.9126213592232997,%,DEMO,3.11650485436894,2.9126213592233023,4.0,,,
KPI-04,Ahorro energetico DEMO,4,2026-06,2.9126213592232997,%,DEMO,3.1165048543689378,2.9126213592233,5.0,,,
KPI-04,Ahorro energetico DEMO,5,2026-01,2.9126213592232997,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,5,2026-02,2.9126213592232997,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,5,2026-03,2.912621359223311,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,5,2026-04,2.912621359223311,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,5,2026-05,2.9126213592232997,%,DEMO,3.1165048543689364,2.9126213592232983,4.0,,,
KPI-04,Ahorro energetico DEMO,5,2026-06,2.912621359223311,%,DEMO,3.1165048543689355,2.912621359223298,5.0,,,
KPI-04,Ahorro energetico DEMO,7,2026-01,2.9126213592232997,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,7,2026-02,2.9126213592232997,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,7,2026-03,2.9126213592232997,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,7,2026-04,2.9126213592232997,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,7,2026-05,2.9126213592232997,%,DEMO,3.1165048543689307,2.9126213592232997,4.0,,,
KPI-04,Ahorro energetico DEMO,7,2026-06,2.9126213592232997,%,DEMO,3.1165048543689307,2.9126213592232997,5.0,,,
KPI-04,Ahorro energetico DEMO,8,2026-01,2.912621359223311,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,8,2026-02,2.9126213592232997,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,8,2026-03,2.9126213592232997,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,8,2026-04,2.9126213592232997,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,8,2026-05,2.9126213592232997,%,DEMO,3.1165048543689338,2.912621359223297,4.0,,,
KPI-04,Ahorro energetico DEMO,8,2026-06,2.9126213592232997,%,DEMO,3.1165048543689333,2.912621359223297,5.0,,,
KPI-04,Ahorro energetico DEMO,10,2026-01,2.912621359223311,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,10,2026-02,2.912621359223311,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,10,2026-03,2.912621359223311,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,10,2026-04,2.9126213592232997,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,10,2026-05,2.9126213592232997,%,DEMO,3.11650485436894,2.9126213592233023,4.0,,,
KPI-04,Ahorro energetico DEMO,10,2026-06,2.9126213592232997,%,DEMO,3.1165048543689378,2.9126213592233,5.0,,,
KPI-04,Ahorro energetico DEMO,12,2026-01,2.912621359223311,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,12,2026-02,2.9126213592232997,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,12,2026-03,2.9126213592232997,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,12,2026-04,2.9126213592232997,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,12,2026-05,2.912621359223311,%,DEMO,3.1165048543689338,2.912621359223297,4.0,,,
KPI-04,Ahorro energetico DEMO,12,2026-06,2.912621359223311,%,DEMO,3.1165048543689355,2.912621359223298,5.0,,,
KPI-04,Ahorro energetico DEMO,15,2026-01,,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,15,2026-03,2.9126213592232997,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,15,2026-04,2.912621359223311,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,15,2026-05,2.9126213592232997,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,15,2026-06,2.912621359223311,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,17,2026-01,2.912621359223311,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,17,2026-02,2.9126213592232997,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,17,2026-03,2.9126213592232997,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,17,2026-04,2.9126213592232997,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,17,2026-05,2.912621359223311,%,DEMO,3.1165048543689338,2.912621359223297,4.0,,,
KPI-04,Ahorro energetico DEMO,17,2026-06,2.912621359223311,%,DEMO,3.1165048543689355,2.912621359223298,5.0,,,
KPI-04,Ahorro energetico DEMO,18,2026-01,2.912621359223311,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,18,2026-02,2.9126213592232997,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,18,2026-03,2.9126213592232997,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,18,2026-04,2.9126213592232997,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,18,2026-05,2.912621359223311,%,DEMO,3.1165048543689338,2.912621359223297,4.0,,,
KPI-04,Ahorro energetico DEMO,18,2026-06,2.912621359223311,%,DEMO,3.1165048543689355,2.912621359223298,5.0,,,
KPI-04,Ahorro energetico DEMO,9.1,2026-01,2.9126213592232997,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,9.1,2026-02,2.9126213592232997,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,9.1,2026-03,2.912621359223311,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,9.1,2026-04,2.9126213592232997,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,9.1,2026-05,2.9126213592232997,%,DEMO,3.1165048543689338,2.9126213592232966,4.0,,,
KPI-04,Ahorro energetico DEMO,9.1,2026-06,2.9126213592232997,%,DEMO,3.1165048543689333,2.912621359223297,5.0,,,
KPI-04,Ahorro energetico DEMO,9.2,2026-01,2.9126213592232997,%,DEMO,,,0.0,,,
KPI-04,Ahorro energetico DEMO,9.2,2026-02,2.912621359223311,%,DEMO,,,1.0,,,
KPI-04,Ahorro energetico DEMO,9.2,2026-03,2.9126213592232997,%,DEMO,,,2.0,,,
KPI-04,Ahorro energetico DEMO,9.2,2026-04,2.912621359223311,%,DEMO,,,3.0,,,
KPI-04,Ahorro energetico DEMO,9.2,2026-05,2.912621359223311,%,DEMO,3.1165048543689364,2.9126213592232983,4.0,,,
