entity_id,fecha,KPI03_pico_kw,KPI03_hora_pico,KPI05_CO2_tCO2e,KPI08_LF,KPI09_f4_pct,KPI10_desbalance_pct,KPI11_fp,KPI12_thd_v_pct
SmartMeter_SM_B10_ARQ,2026-02-10,21044.316000000003,9.0,0.029602000215520057,0.6161938064680055,15.908001119389892,0.5900179384633555,0.9483333333333333,2.4873685416666667
SmartMeter_SM_B10_ARQ,2026-02-11,39388.084,14.0,0.044054214145412725,0.49622054021497514,13.595406089876505,0.6733162906341628,0.9254747329059829,2.3516244925213674
SmartMeter_SM_B10_ARQ,2026-02-12,29041.24,7.0,0.04306860925359324,0.658579893388008,33.28436598191306,0.5891770578240783,0.9329819444444444,2.4354717361111113
SmartMeter_SM_B10_ARQ,2026-02-13,33282.40833333333,15.0,0.028455363877119985,0.37520795833334375,16.156403858478328,0.5042261904241331,0.9369881944444445,2.2994174305555557
SmartMeter_SM_B10_ARQ,2026-02-14,10266.029166666667,8.0,0.014544369711126671,0.6271687033867497,24.674588727355307,0.3951512670149406,0.9221604166666667,1.7489172222222222
SmartMeter_SM_B10_ARQ,2026-02-15,4592.766666666666,18.0,0.008268149997300923,0.8186406817820124,33.761704557031045,0.3462780709597542,0.8879418478260869,1.301096560990338
SmartMeter_SM_B10_ARQ,2026-02-16,21238.354166666668,16.0,0.029070050521520056,0.5974050311232658,12.739769541433896,0.5381577505889946,0.9525513888888889,2.3766275
SmartMeter_SM_B10_ARQ,2026-02-17,19179.4,13.0,0.027890121486239972,0.6362348662135183,15.67154484079036,0.55987263106872,0.9410180555555555,2.4079190277777776
SmartMeter_SM_B10_ARQ,2026-02-18,21311.80833333333,15.0,0.02922428993476765,0.6002278572538201,15.890348340620505,0.599789437992314,0.948770350241546,2.485435727657005
SmartMeter_SM_B10_ARQ,2026-02-19,38951.84166666667,9.0,0.03693446542672028,0.4155692666934947,11.964463045647172,0.5630308143636719,0.9456590277777778,2.4741881944444444
SmartMeter_SM_B10_ARQ,2026-02-20,34898.270833333336,15.0,0.03216475008911998,0.40205556984974783,13.073998720613398,0.6583412912504013,0.9466368055555555,2.252222291666667
SmartMeter_SM_B10_ARQ,2026-02-21,30708.916666666668,10.0,0.03579112058566715,0.5068540000597004,11.303458411283499,0.8658564767848408,0.9103590277777779,1.5721506249999997
SmartMeter_SM_B10_ARQ,2026-02-22,24352.329166666663,13.0,0.028466991161027102,0.5109629623039138,12.563552597801364,0.6590876162317846,0.9153291666666666,2.4284805555555558
SmartMeter_SM_B10_ARQ,2026-02-23,31574.18,10.0,0.03042504109975334,0.42177762063460994,14.436563956267474,0.6749016214307737,0.9607666666666667,2.412941388888889
SmartMeter_SM_B10_ARQ,2026-02-24,19389.38,12.0,0.027656537068719917,0.6315798369175979,15.990638520112427,0.6361433438102551,0.9624958333333332,2.490394236111111
SmartMeter_SM_B10_ARQ,2026-02-25,25186.972,18.0,0.03117887613404716,0.5409373547143517,13.378709535883605,0.8272077729846495,0.9540986111111112,2.491990972222222
SmartMeter_SM_B10_ARQ,2026-02-26,23012.49583333333,16.0,0.03083693231232725,0.5877218059729266,14.132145599662008,0.6016351404139554,0.9578840277777777,2.510358263888889
SmartMeter_SM_B10_ARQ,2026-02-27,36297.26,14.0,0.03352573377854592,0.40306006412706397,13.717618545694021,0.6774980676619847,0.9445457125603864,2.2396698580917875
SmartMeter_SM_B10_ARQ,2026-02-28,30160.468,14.0,0.037340607676006686,0.5400947879669654,10.716268288043155,0.8356605808949387,0.9019138888888888,1.6606697222222222
SmartMeter_SM_B10_ARQ,2026-03-01,25334.548,17.0,0.032485977446391576,0.5587092297069479,10.622148752476479,0.8941024889114946,0.8932618357487924,1.318378280611297
SmartMeter_SM_B10_ARQ,2026-03-02,35440.98,11.0,0.03354473517640412,0.4138807863701217,12.967222947403853,0.7302305504460215,0.9504152700259865,2.304952031922315
SmartMeter_SM_B10_ARQ,2026-03-03,19900.32268907563,9.0,0.02980564980626675,0.657270307616223,17.090110100797588,0.5998344670607249,0.964072868840118,2.6495483569110765
SmartMeter_SM_B10_ARQ,2026-03-04,29203.75294117647,10.0,0.030384543954754404,0.45624101372425824,13.720841262505601,0.773379355438863,0.9548408298419573,2.5596829679795494
SmartMeter_SM_B10_ARQ,2026-03-05,23285.51982758621,16.0,0.03241690076773595,0.6100759895075983,13.363368482006285,0.6472136221539632,0.9605817243811968,2.9586095314845218
SmartMeter_SM_B10_ARQ,2026-03-06,34437.59322033898,14.0,0.03116371128513906,0.3963436686992338,14.671737794161203,0.6764378442343523,0.9433471009505155,2.510645990894639
SmartMeter_SM_B10_ARQ,2026-03-07,29046.217647058824,11.0,0.023330727928460266,0.3526500511327659,16.357746104678224,0.860314352164035,0.8864271533118897,1.7017206124681514
SmartMeter_SM_B10_ARQ,2026-03-08,5433.915966386555,6.0,0.010130030057291095,0.8444865234273459,33.03727637489281,0.8278785846958959,0.8827965063611086,1.4444020950678054
SmartMeter_SM_B10_ARQ,2026-03-09,20584.862711864404,16.0,0.028916818389533132,0.6154103105371432,14.76916173869327,0.6526517774857234,0.9606373101604978,2.6217165703598284
SmartMeter_SM_B10_ARQ,2026-03-10,18897.42118644068,16.0,0.028159457979907036,0.6568903723501734,16.377424452132495,0.6904366976631247,0.9615941964601578,2.7882318542112947
SmartMeter_SM_B10_ARQ,2026-03-11,39137.30084033613,16.0,0.03700545770392477,0.4142920473148049,13.3468652606661,0.7120181727164043,0.9630143897578926,2.762838189878195
SmartMeter_SM_B10_ARQ,2026-03-12,20577.40425531915,17.0,0.023930782591044492,0.7067345326178629,19.860800411258026,0.681031476124214,0.971133522904911,2.8249691323751693
SmartMeter_SM_B12_DERE,2026-02-10,17396.412,16.0,0.02201240625856017,0.5494150220938279,12.857287798418001,0.3070194917621241,0.7331069444444444,1.8219
SmartMeter_SM_B12_DERE,2026-02-11,16393.576,8.0,0.01921550420123147,0.5087939187866138,10.067527120248812,0.33526291934645985,0.6928554649758455,1.6891191394927538
SmartMeter_SM_B12_DERE,2026-02-12,18527.1,14.0,0.021994627386667145,0.5145582841002388,9.659820325829726,0.3100655725316754,0.7340150883838383,1.8027602083333332
SmartMeter_SM_B12_DERE,2026-02-13,20553.416666666668,18.0,0.024432193317899708,0.5178748498154537,11.225174129294572,0.3255181430739436,0.7689333333333334,1.8521829861111112
SmartMeter_SM_B12_DERE,2026-02-14,17979.203999999998,9.0,0.0208091761993117,0.5040184048756827,15.317770843316437,0.3283830356542376,0.7298992552334944,1.7492379750402576
SmartMeter_SM_B12_DERE,2026-02-15,5808.624,19.0,0.008353713124222246,0.6439485639513477,27.067738665632813,0.31626250974678644,0.5253938103864734,1.3231929710144927
SmartMeter_SM_B12_DERE,2026-02-16,18121.366666666665,16.0,0.023070359325141437,0.5561092380315821,13.489282417162606,0.3155352305046044,0.7498726641414141,1.6784560606060606
SmartMeter_SM_B12_DERE,2026-02-17,18843.479166666668,16.0,0.023659795182879653,0.547991086660173,11.746846491316361,0.2879482448143477,0.7458576388888889,1.8396067361111113
SmartMeter_SM_B12_DERE,2026-02-18,19311.616,16.0,0.023125169704319888,0.5232281363995368,11.942251175627783,0.28636280809712655,0.7462731884057971,1.8139434118357487
SmartMeter_SM_B12_DERE,2026-02-19,15236.779166666667,14.0,0.021279372206859593,0.6080846067733948,13.152190033956396,0.31765629179366334,0.735836111111111,1.6849935416666666
SmartMeter_SM_B12_DERE,2026-02-20,20946.212,16.0,0.024507825640160463,0.5083177194653514,11.324093729524357,0.2984232125206857,0.7663208333333333,1.7865606944444445
SmartMeter_SM_B12_DERE,2026-02-21,17468.703999999998,9.0,0.018483399469486628,0.4613653039490254,17.448125343372805,0.35052028955691056,0.7036791666666667,1.514267361111111
